id,name,category,area,url,description,phone,address,hours,closed,fee,access,parking,website
"10942","曽木の滝公園 （ソギノタキコウエン） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/10942/","","0995-28-2600（曽木の滝観光案内所）","鹿児島県伊佐市大口宮人628-41","","無休","無料","［車］ ・九州自動車道「栗野ＩＣ」から約25分、「人吉ＩＣ」から約50分 ・伊佐市街地から国道267号、県道404号線経由約15分 ・九州新幹線「出水駅」から約40分、「新水俣駅」から約45分","有","https://soginotaki.kagoshima.jp/"
"10446","藤川天神（臥龍梅） （フジカワテンジン（ガリュウバイ）） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/10446/","","0996-42-0753（藤川天神社務所）","鹿児島県薩摩川内市東郷町藤川","","","","［車］ ・鹿児島空港から約1時間20分 ・鹿児島市から約1時間30分 ・ＪＲ川内駅から約30分 ※藤川天神や周辺までの公共交通機関はありません","有","https://satsumasendai.gr.jp/spotlist/1844"
"11761","菅原神社（荒平天神） （すがわらじんじゃ（あらひらてんじん）） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/11761/","","0994-31-1121（鹿屋市ふるさとPR課）","鹿児島県鹿屋市天神町4014（県道68号沿い）","","","","［車］ ・垂水フェリーターミナルから約20分","有","http://www.kagoshima-kankou.com/course/50306/"
"53112","人気ポケモン「イーブイ」と進化形のマンホール （ニンキポケモン「イーブイ」トシンカケイノマンホール） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/53112/","","0993-22-2111（指宿市役所観光課）","鹿児島県指宿市","","","","［車］ ・ＪＲ鹿児島中央駅から指宿市まで約90分 ・鹿児島空港から指宿市まで約90分","","https://www.ibusuki.or.jp/news/2019/02/22/28388.html"
"10387","佐多岬公園 （さたみさきこうえん） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/10387/","","0994-27-3151（佐多岬公園観光案内所）","鹿児島県肝属郡南大隅町佐多馬籠417","8：00～日没","無休","無料","［車］ ・鹿児島空港から約2時間30分（高速道路使用） ・鹿児島中央駅から（鹿児島港⇔桜島港フェリー15分経由）約3時間 （鴨池港⇔垂水港フェリー45分経由）約2時間50分 （高速道路使用）約2時間50分 ・志布志港から約2時間 ・根占港から約60分（指宿港⇔根占港高速船約20分、山川港⇔根占港フェリーなんきゅう約50分）","有","https://www.town.minamiosumi.lg.jp/kanko/index.html"
"10972","溝ノ口洞穴 （ミゾノクチドウケツ） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/10972/","","0986-76-8282（曽於市商工観光課）","鹿児島県曽於市財部町下財部4907付近（入口から奥へ約1300ｍ）","","","","［車］ ・鹿児島空港から約50分 ・霧島温泉郷から約40分 ・鹿児島中央駅から約1時間25分 ・ＪＲ財部駅から約15分 ・東九州自動車道末吉財部ＩＣから約35分","","https://www.city.soo.kagoshima.jp/kankou_event/rekisibunnka/siseki/mizonokuchidouketsu.html"
"10330","鹿屋航空基地史料館 （カノヤコウクウキチシリョウカン） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/10330/","","0994-42-0233","鹿児島県鹿屋市西原3丁目11-2","9：00～17：00（入館は16：30まで）","12/29～1/3","入館料無料","［バス］ ・鹿児島空港から鹿屋航空隊前まで約100分 ・志布志駅から鹿屋航空隊前まで約75分 ［バス・フェリー］ 鹿児島中央駅から鴨池港までバスで約20分、鴨池港から垂水港までフェリーで約35分、バスで鹿屋航空隊前まで約50分","有","https://www.mod.go.jp/msdf/kanoya/toukatu/HPzairyou/1-8siryoukann/1-8siryoukann.html"
"51674","サクラジマアイランドビュー （さくらじまあいらんどびゅー） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/51674/","","099-257-2117（鹿児島市 交通局 バス事業課）","鹿児島県鹿児島市","Aコース（7便/日）毎時00分桜島港発 Bコース（8便/日）毎時30分桜島港発 ※交互に運行します ※時刻表、運行コースにつきましては公式サイトにてご確認ください。","年中無休 （※荒天時は運休する場合あり）","均一制運賃 大人 230円・小児 120円（小学生以下） ※ICカード乗車券ラピカ（Rapica）、サクラジマアイランドビュー専用一日乗車券、共通利用券「キュート」でもご利用になれます。 お得な観光パス： ◆サクラジマアイランドビュー専用一日乗車券（各停留所で乗り降り自由） 大人500円・小学生以下250円 ◆共通利用券「キュート」 市営バス（カゴシマシティビューやサクラジマアイランドビューを含む）、市電、桜島フェリーに乗り放題の共通利用券。 1日券（大人1,300円、小児650円） 2日券（大人1,900円、小児90円） ※乗車券の販売所等、詳細は公式サイトにてご確認ください","（桜島フェリー 鹿児島港まで） ［車］ ・鹿児島中央駅から約10分 ［バス］ ・鹿児島空港より空港バスで約50分、「金生町」バス停下車、徒歩約15分 ・鹿児島中央駅より市営バス・南国交通バス・鹿児島交通バスで「水族館前」下車、徒歩約1分 （鹿児島港から桜島港まで） ・桜島フェリーにて約15分","鹿児島港側：無（近隣の有料駐車場をご利用下さい） 桜島港側：有（有料）","http://www.kotsu-city-kagoshima.jp/sakurajima-tabi/#ank5"
"10520","西郷隆盛銅像 （さいごうたかもりどうぞう ） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/10520/","","","〒892-0853 鹿児島県鹿児島市城山町4-36","","","","・カゴシマシティビュー「西郷銅像前」下車 ・市電「朝日通」から徒歩約8分","","https://www.kagoshima-yokanavi.jp/article/meijiishin"
"11083","日本一の巨樹 蒲生の大クス （ニホンイチノキョジュ カモウノオオクス） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/11083/","","0995-52-8400（蒲生八幡神社）","鹿児島県姶良市蒲生町上久徳2259-1","","無休","","［車］ ・鹿児島市から約40分 ・鹿児島空港から約30分 ・霧島温泉郷から約50分","有","https://aira-kankou.jp/spot/5566/"
"10689","長崎鼻 （ナガサキバナ） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/10689/","","0993-22-2111（指宿市観光課）","鹿児島県指宿市山川岡児ヶ水長崎鼻","","","","［車］ ・ＪＲ指宿駅より約25分 ・九州自動車道鹿児島ＩＣより指宿方面へ約70分 ［電車］ ・指宿枕崎線「西大山駅」から車で約15分 ・指宿枕崎線「山川駅」から鹿児島交通バス開聞行きで約15分、長崎鼻前下車徒歩約3分","有","http://www.ibusuki.or.jp/tourism/view/nagasakibana/"
"11053","知覧武家屋敷庭園群 （チランブケヤシキテイエングン） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/11053/","","0993-58-7878（知覧武家屋敷庭園事務所）","〒897-0302 鹿児島県南九州市知覧町郡13731-1","9：00～17：00","年中無休","［入園料］ 大人 530円 小人（小・中学生）320円","［車］ ・指宿スカイライン知覧ＩＣから車で約15分","有","http://chiran-bukeyashiki.com/"
"12332","鹿児島城（鶴丸城）御楼門 （かごしまじょう つるまるじょう ごろうもん） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/12332/","","","〒892-0853 鹿児島県鹿児島市城山町7-2","","","","・カゴシマシティビュー「薩摩義士碑前」下車 ・市電「市役所前」から徒歩約10分","","https://www.kagoshima-yokanavi.jp/article/city-view"
"50904","JR西大山駅 （ジェイアールニシオオヤマエキ） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/50904/","","0993-34-0132（かいもん市場 久太郎内）","鹿児島県指宿市山川大山602","","","","［車］ ・ＪＲ指宿駅から約15分","有","http://www.ibusuki.or.jp/tourism/view/jrnishioyama/"
"52963","神徳稲荷神社 （ジントクイナリジンジャ） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/52963/","","0994-36-0303","〒893-0063 鹿児島県鹿屋市新栄町1771-4","9：00～17：00(社務時間)","","","［徒歩］ ・鹿屋市役所から約15分","","https://jintokuinari.jp/"
"10094","大浪池 （おおなみのいけ） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/10094/","","0995-45-5111（霧島市観光PR課）","鹿児島県霧島市牧園町高千穂","通年（火山活動に伴う入山規制は、最新の情報をご確認ください）","","無料","［車］ ・九州自動車道「溝辺鹿児島空港IC」から約45分 ［バス］ ・ＪＲ日豊本線「霧島神宮」駅より、霧島いわさきホテル行きで約30分、「丸尾」乗換え、霧島連山周遊バスで約40分、「大浪池登山口」下車","大浪池登山口付近に駐車場がありますが、台数が限られています。満車の場合は、えびの高原駐車場(500円)をご利用いただき、霧島連山周遊バスにご乗車ください。 ※路上駐車によりキリシマリンドウなど植生への被害や、バスや車の通行の妨げになるなどの影響が出ています。ご協力お願いします。","http://www.city-kirishima.jp/"
"10670","池田湖 （いけだこ） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/10670/","","0993-22-2111（指宿市観光課）","鹿児島県指宿市池田湖","","","","［車］ ・鹿児島空港から約1時間35分（高速利用） ・鹿児島市から約1時間20分 ・指宿駅から約20分","有（普通車111台）","https://www.ibusuki.or.jp/tourism/view/ikedalake/"
"10740","白谷雲水峡（太鼓岩） （シラタニウンスイキョウ タイコイワ） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/10740/","","0997-42-3508（屋久島レクリエーションの森保護管理協議会）","鹿児島県熊毛郡屋久島町宮之浦","","無休","［森林環境整備推進協力金］ ・高校生以上 500円 ・団体15名以上 400円 ※2026年4月1日より金額改定 ・高校生以上 800円 ・団体20名以上 600円 ※詳細は公式サイトにてご確認ください","［車］ ・宮之浦港から約25分 ・安房港から約55分 ・屋久島空港から約40分 ※宮之浦港から路線バスもご利用できます。詳細はお問合せください。","有","http://www.town.yakushima.kagoshima.jp/pickup/60706/"
"51414","加世田観光農園 （カセダカンコウノウエン） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/51414/","","099-487-2100","鹿児島県志布志市松山町新橋1720","9:00～17:00 ※詳細はお問い合わせください","不定休（営業日やご予約は事前にお問い合わせください）","［いちご食べ放題の料金］ 大人 2,000円 小学生 1,500円 園児 600円 2歳以下 300円 ［いちご量り売りの料金］ 100g 200円 ※いちご持ち帰りのみの場合、入園料は不要","［車］ ・曽於弥五郎ICから約25分 ※道の駅松山が目印（道の駅を右手に北上してすぐ）","有り","http://blog.livedoor.jp/kasedafarm/"
"10162","丸池湧水 （マルイケユウスイ） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/10162/","","0995-74-3111（湧水町商工観光課）","鹿児島県姶良郡湧水町木場589","","","","［車］ ・鹿児島空港から約25分（高速道路） ・九州自動車道・栗野ＩＣを下りて約5分 ・霧島温泉郷から約40分 ・鹿児島中央駅から約50分 ［電車］ ・鹿児島中央駅からＪＲ肥薩線栗野駅まで約1時間40分、駅から徒歩約3分 ［バス］ ・湧水町ふるさとバス観光周り（土日祝・春夏冬休み期間のみ運行）で「栗野駅」下車","有","http://www.town.yusui.kagoshima.jp/site/kanko/898.html"
"12625","焼酎蔵 薩摩金山蔵 （ショウチュウグラ サツマキンザングラ） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/12625/","","0996-21-2110（薩摩金山蔵）","鹿児島県いちき串木野市野下13665","【売店】10：00～17：00 【蔵見学】トロッコ出発時間 ①11：00～②14：00～ １日2回 ※要予約","平日 ※変更の可能性があるので詳細はお問い合わせ下さい。","入場料無料 坑洞焼酎蔵見学（ツアー）は有料","［車］ ・ＪＲ串木野駅より約10分 ・南九州自動車道「串木野インター」下車、国道3号線を川内方面へ約10分 ・鹿児島空港から約60分 ［バス］ ・ＪＲ串木野駅より路線バスで川内方面へ。「野下口」下車、徒歩約5分","","https://www.hamadasyuzou.co.jp/kinzan/"
"52850","甑島 （コシキシマ） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/52850/","","0996-25-1140（さつませんだい観光局）","鹿児島県薩摩川内市","","","","［フェリー］ ・串木野新港⇔甑島各港 「フェリー ニュー こしき」で最速75分 ・川内港ターミナル⇔甑島各港 「高速船 甑島」で最速50分","","https://satsumasendai.gr.jp/koshiki-sight-seeing/"
"50237","龍宮神社 （リュウグウジンジャ） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/50237/","","0993-22-2111（指宿市観光課）","鹿児島県指宿市山川岡児ケ水1581-34","","","","［車］ 九州自動車道鹿児島ＩＣより指宿方面へ約70分 ［電車］ 指宿枕崎線「西大山駅」から車で約15分 指宿枕崎線「山川駅」から鹿児島交通バス開聞行きで約15分、長崎鼻前下車徒歩3分","有","http://www.ibusuki.or.jp/tourism/view/ryugushrine/"
"51669","嘉例川駅 （カレイガワエキ） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/51669/","","0995-45-5111（霧島市観光PR課）","鹿児島県霧島市隼人町嘉例川2174","","無休","","［電車］ ・ＪＲ肥薩線・嘉例川駅 ［車］ ・溝辺鹿児島空港ＩＣより約10分","有","https://www.city-kirishima.jp/kirikan/shisetsu/kanko-leisure/019.html"
"50902","射楯兵主神社（釜蓋神社） （イタテツワモノヌシジンジャ（カマフタジンジャ）） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/50902/","","0993-38-2127（釜蓋神社管理運営委員会）","〒891-0704 鹿児島県南九州市頴娃町別府6827","","","","［車］ ・南九州市役所より約30分 ・番所鼻自然公園から約5分 ［電車］ ・指宿駅より約50分 ・頴娃大川駅より徒歩約15分","有","https://www.city.minamikyushu.lg.jp/soshikikarasagasu/shokokankoka/kankokoryu/1/300.html"
"50927","えびの高原 （えびのこうげん） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/50927/","","0984-33-3002（自然公園財団えびの支部）","宮崎県えびの市","","なし","無料","［車］ ・鹿児島空港ＩＣより約1時間 ・九州自動車道えびのＩＣより約35分、宮崎自動車道小林ＩＣより約25分","有（有料）","https://ebino-ecomuseum.go.jp/"
"10126","高千穂峰 （たかちほのみね） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/10126/","","0995-57-2505（高千穂河原ビジターセンター）","鹿児島県霧島市霧島地域","","","","［バス］ ・ＪＲ日豊本線霧島神宮駅から約40分 ［徒歩］ ・高千穂河原より約90分","","https://www.kagoshima-kankou.com/guide/70264"
"10692","唐船峡そうめん流し （トウセンキョウソウメンナガシ） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/10692/","","0993-32-2143（市営唐船峡そうめん流し）","鹿児島県指宿市開聞十町5967番地","※詳しくは公式サイトをご覧ください","年中無休","","［車］ ・ＪＲ指宿駅から約25分","有","http://www.ibusuki.or.jp/eat/somen/ibusukicity/"
"10141","黒酢ガーデン壺畑 SHOP&RESTAURANT （坂元のくろず） （くろずがーでんつぼばたけ しょっぷあんどれすとらん ） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/10141/","","0995-54-7200","鹿児島県霧島市福山町福山3075","［ショップ］ 9：00～17：00 ［レストラン］10：00 ～ 17：00","12/31～1/1","［情報館］無料 （※団体様は要予約）","ＪＲ日豊本線国分駅から鹿児島交通バスで垂水方面へ小廻バス停下車し徒歩約10分","有","http://www.tsubobatake.jp/"
"30116","霧島新燃荘 （キリシマシンモエソウ） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/30116/","","0995-78-2255","鹿児島県霧島市牧園町高千穂3968","［立寄り湯］8：00～20：00","毎月第2・第4火曜日","","［車］ ・鹿児島空港から約50分 ・九州自動車道・溝辺鹿児島空港ＩＣから約50分","有","http://www.minkoku.com/yado/top.php?yado_id=84"
"10691","開聞岳 （かいもんだけ） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/10691/","","0993-32-5566（かいもん山麓ふれあい公園）","鹿児島県指宿市開聞十町","","無休（但し、かいもん山麓ふれあい公園は、毎週火曜日が休日となっています。）","","開聞岳登山口（ふれあい公園）まで ・ＪＲ指宿駅から車で約30分 ・ＪＲ開聞駅下車徒歩約20分 ・ＪＲ指宿駅からバス約50分 開聞登山口下車 徒歩約20分","120台 （かいもん山麓ふれあい公園の駐車場をご利用ください）","http://www.ibusuki.or.jp/tourism/view/kaimondake/"
"10102","丸尾滝 （まるおのたき） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/10102/","","0995-45-5111（霧島市観光PR課）","鹿児島県霧島市牧園町高千穂丸尾","","","","［バス］ ・ＪＲ日豊本線・霧島神宮駅から約30分、丸尾バス停下車後、徒歩約10分 ・鹿児島空港から約35分、丸尾バス停下車後、徒歩約10分","無","http://www.city-kirishima.jp/kirikan/kanko/shizen/taki.html"
"51670","鹿児島中央駅 （かごしまちゅうおうえき） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/51670/","","0570-041-717（ＪＲ九州案内センター）","〒890-0053 鹿児島県鹿児島市中央町1-1","","","","","あり","https://www.jrkyushu.co.jp/railway/station/1191491_1601.html"
"51690","韓国岳 （からくにだけ） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/51690/","","0995-45-5111（霧島市観光PR課）","鹿児島県霧島市","制限なし","","無料","［車］ ・韓国岳登山口まで、溝辺鹿児島空港ICより約60分","えびのエコミュージアムセンター駐車場（有料）","http://www.city-kirishima.jp/"
"10826","万世特攻平和祈念館 （ばんせいとっこうへいわきねんかん） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/10826/","","0993-52-3979","鹿児島県南さつま市加世田高橋1955番地3","9：00～17：00（入館は16：30まで）","12/31、1/1","大人（高校生以上）310円 子供（小・中学生）210円 ※団体割引あり","［車］ ・鹿児島空港から九州自動車道、指宿スカイライン、県道鹿児島加世田線経由で約70分 ・鹿児島市街地より約50分、南さつま市街地より西へ車で約5キロ ［バス］ ※万世特攻平和祈念館の最寄りのバス停は「海浜温泉前」です。 ・鹿児島市内から 鹿児島交通バス伊作・加世田行きに乗車 天文館／鹿児島中央駅ー加世田 約60-90分 ・加世田バス停ー海浜温泉前 (約10分) バス (加世田ー野間池線:平日5便／土日祝2便) タクシー(加世田バス停に乗り場あり)","有","http://kanko-minamisatsuma.jp/topics/%E4%B8%87%E4%B8%96%E7%89%B9%E6%94%BB%E5%B9%B3%E5%92%8C%E7%A5%88%E5%BF%B5%E9%A4%A8/"
"10517","いおワールドかごしま水族館 （いおわーるどかごしますいぞくかん） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/10517/","","099-226-2233","〒892-0814 鹿児島県鹿児島市本港新町3-1","9:30～18:00（入館は17:00まで) ＧＷ、夏休みの土日祝日、お盆、クリスマスイブなどは21:00まで営業","12月第1月曜日から4日間","【市民料金】 ・大人（高校生以上）1500円 ・小人（小中学生）750円 【市外料金】 ・大人（高校生以上）2000円 ・小人（小中学生）1000円","・市電「水族館口」から徒歩約8分 ・市営バス16番線「水族館前」下車徒歩約1分 ・カゴシマシティビュー「かごしま水族館前（桜島桟橋）」下車","あり","http://ioworld.jp"
"10114","霧島神話の里公園（道の駅霧島） （キリシマシンワノサトコウエン（ミチノエキキリシマ）） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/10114/","","0995-57-1711","鹿児島県霧島市霧島田口2583-22","9：00～17：00","無休","入園無料（有料施設有）","［車］ ・九州自動車道「溝辺鹿児島空港ⅠC」から約40分 ・鹿児島市内から約1時間30分 ・国分駅から鹿児島交通バス（霧島いわさきホテル行）にて約35分、「神話の里入口」バス停下車後すぐ","有","http://shinwanosato.jp/"
"10128","妙見温泉 （ミョウケンオンセン） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/10128/","","0995-77-2808（妙見温泉振興会）","鹿児島県霧島市隼人町嘉例川","","","","［車］ ・鹿児島空港・溝辺鹿児島空港ＩＣより約15分 ・ＪＲ日豊本線隼人駅より約15分","","http://www.myoken-onsen.com/"
"10654","知林ヶ島 （チリンガシマ） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/10654/","","0993-22-2111（指宿市観光課）","鹿児島県指宿市西方","","","","［車］ ・ＪＲ指宿駅から約15分 ［バス］ ・ＪＲ指宿駅から約10分 ・「エコキャンプ場知林ヶ島入口」下車、砂州入口まで徒歩約5分","有","http://www.ibusuki.or.jp/tourism/view/chiringashima/"
"53544","カゴマニア （カゴマニア） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/53544/","","099-259-8008","鹿児島県鹿児島市西田2-10-13-1F","10：00～19：00","水曜日(※祝日の場合営業)","","鹿児島中央駅から徒歩約5分","有","https://www.instagram.com/kagomania_/"
